scientific_name,mass_g
Abeillia abeillei,2.7
Abroscopus albogularis,4.8
Abroscopus schisticeps,4.7
Abroscopus superciliaris,6.5
Aburria aburri,1405.1
Acanthagenys rufogularis,47.8
Acanthidops bairdi,16.0
Acanthis cabaret,12.0
Acanthis flammea,13.0
Acanthis hornemanni,13.9
Acanthisitta chloris,6.9
Acanthiza apicalis,7.6
Acanthiza chrysorrhoa,9.3
Acanthiza cinerea,7.6
Acanthiza ewingii,6.9
Acanthiza inornata,7.0
Acanthiza iredalei,6.0
Acanthiza katherina,7.2
Acanthiza lineata,6.9
Acanthiza murina,8.4
Acanthiza nana,6.2
Acanthiza pusilla,7.6
Acanthiza reguloides,7.7
Acanthiza robustirostris,6.1
Acanthiza uropygialis,6.4
Acanthorhynchus superciliosus,9.7
Acanthorhynchus tenuirostris,10.4
Acanthornis magna,10.2
Accipiter albogularis,248.8
Accipiter badius,131.2
Accipiter bicolor,287.5
Accipiter brachyurus,142.0
Accipiter brevipes,186.5
Accipiter butleri,122.0
Accipiter castanilius,157.5
Accipiter cirrocephalus,165.7
Accipiter collaris,97.8
Accipiter cooperii,429.7
Accipiter erythrauchen,156.0
Accipiter erythropus,111.2
Accipiter fasciatus,358.7
Accipiter francesiae,136.8
Accipiter gentilis,866.0
Accipiter griseiceps,251.8
Accipiter gularis,120.7
Accipiter gundlachi,675.0
Accipiter haplochrous,198.4
Accipiter henicogrammus,358.7
Accipiter henstii,1050.0
Accipiter hiogaster,326.1
Accipiter imitator,222.5
Accipiter luteoschistaceus,214.0
Accipiter madagascariensis,180.4
Accipiter melanochlamys,265.0
Accipiter melanoleucus,699.0
Accipiter meyerianus,763.5
Accipiter minullus,87.4
Accipiter nanus,117.0
Accipiter nisus,220.8
Accipiter novaehollandiae,326.1
Accipiter ovampensis,195.0
Accipiter poliocephalus,214.8
Accipiter poliogaster,315.0
Accipiter princeps,214.8
Accipiter rhodogaster,172.7
Accipiter rufitorques,209.0
Accipiter rufiventris,198.0
Accipiter soloensis,164.8
Accipiter striatus,130.6
Accipiter superciliosus,96.4
Accipiter tachiro,290.2
Accipiter toussenelii,249.3
Accipiter trinotatus,146.0
Accipiter trivirgatus,265.0
Accipiter virgatus,117.0
Aceros nipalensis,2385.0
Achaetops pycnopygius,28.3
Acridotheres albocinctus,98.9
Acridotheres burmannicus,89.0
Acridotheres cinereus,98.9
Acridotheres cristatellus,116.3
Acridotheres fuscus,82.8
Acridotheres ginginianus,72.0
Acridotheres grandis,98.9
Acridotheres javanicus,93.5
Acridotheres melanopterus,89.0
Acridotheres tristis,116.4
Acrobatornis fonsecai,13.7
Acrocephalus aequinoctialis,25.0
Acrocephalus agricola,9.6
Acrocephalus arundinaceus,30.0
Acrocephalus atyphus,30.0
Acrocephalus australis,17.7
Acrocephalus baeticatus,12.3
Acrocephalus bistrigiceps,8.7
Acrocephalus brevipennis,16.0
Acrocephalus caffer,43.8
Acrocephalus concinens,8.3
Acrocephalus dumetorum,11.2
Acrocephalus familiaris,18.3
Acrocephalus gracilirostris,14.4
Acrocephalus griseldis,16.7
Acrocephalus hiwae,35.6
Acrocephalus kerearako,22.5
Acrocephalus longirostris,43.8
Acrocephalus melanopogon,10.9
Acrocephalus mendanae,36.3
Acrocephalus newtoni,17.0
Acrocephalus orientalis,23.5
Acrocephalus orinus,24.2
Acrocephalus paludicola,11.6
Acrocephalus palustris,11.5
Acrocephalus percernis,31.2
Acrocephalus rehsei,20.1
Acrocephalus rimitarae,26.5
Acrocephalus rodericanus,11.8
Acrocephalus rufescens,22.7
Acrocephalus schoenobaenus,11.8
Acrocephalus scirpaceus,12.3
Acrocephalus sechellensis,15.9
Acrocephalus sorghophilus,8.2
Acrocephalus stentoreus,24.2
Acrocephalus syrinx,34.0
Acrocephalus taiti,24.3
Acrocephalus tangorum,8.0
Acrocephalus vaughani,24.4
Acropternis orthonyx,89.9
Acryllium vulturinum,1330.0
Actenoides bougainvillei,188.0
Actenoides concretus,73.5
Actenoides hombroni,117.0
Actenoides lindsayi,92.8
Actenoides monachus,150.0
Actenoides princeps,105.0
Actinodura cyanouroptera,17.0
Actinodura egertoni,36.0
Actinodura morrisoniana,24.0
Actinodura nipalensis,43.9
Actinodura ramsayi,38.4
Actinodura sodangorum,38.4
Actinodura souliei,39.3
Actinodura strigula,19.2
Actinodura waldeni,46.7
Actitis hypoleucos,48.0
Actitis macularius,40.4
Actophilornis africanus,189.1
Actophilornis albinucha,239.0
Adelomyia melanogenys,4.9
Aechmophorus clarkii,1090.9
Aechmophorus occidentalis,1137.0
Aegithalos caudatus,8.6
Aegithalos concinnus,6.1
Aegithalos fuliginosus,5.7
Aegithalos glaucogularis,8.6
Aegithalos iouschistos,7.0
Aegithalos leucogenys,6.7
Aegithalos niveogularis,7.8
Aegithina lafresnayei,12.0
Aegithina nigrolutea,11.8
Aegithina tiphia,12.0
Aegithina viridissima,13.4
Aegolius acadicus,100.7
Aegolius funereus,137.2
Aegolius harrisii,120.0
Aegolius ridgwayi,80.0
Aegotheles affinis,60.0
Aegotheles albertisi,35.2
Aegotheles archboldi,30.6
Aegotheles bennettii,60.0
Aegotheles crinifrons,136.0
Aegotheles cristatus,42.8
Aegotheles insignis,78.5
Aegotheles savesi,52.0
Aegotheles tatei,52.0
Aegotheles wallacii,50.7
Aegypius monachus,9320.6
Aepypodius arfakianus,1463.8
Aepypodius bruijnii,192.0
Aerodramus amelis,10.7
Aerodramus bartschi,7.4
Aerodramus brevirostris,13.4
Aerodramus ceramensis,13.4
Aerodramus elaphrus,10.7
Aerodramus francicus,8.9
Aerodramus fuciphagus,10.7
Aerodramus germani,10.7
Aerodramus hirundinaceus,10.1
Aerodramus infuscatus,13.4
Aerodramus inquietus,11.0
Aerodramus leucophaeus,13.4
Aerodramus maximus,17.0
Aerodramus mearnsi,11.3
Aerodramus nuditarsus,13.4
Aerodramus ocistus,13.4
Aerodramus orientalis,13.4
Aerodramus papuensis,19.9
Aerodramus pelewensis,13.4
Aerodramus salangana,11.3
Aerodramus sawtelli,8.6
Aerodramus sororum,21.5
Aerodramus spodiopygius,8.0
Aerodramus terraereginae,12.0
Aerodramus unicolor,11.0
Aerodramus vanikorensis,10.7
Aerodramus vulcanorum,13.4
Aerodramus whiteheadi,14.0
Aeronautes andecolus,17.6
Aeronautes montivagus,20.1
Aeronautes saxatalis,32.1
Aethia cristatella,259.4
Aethia psittacula,270.0
Aethia pusilla,84.0
Aethia pygmaea,112.0
Aethopyga bella,4.0
Aethopyga boltoni,7.1
Aethopyga christinae,5.2
Aethopyga decorosa,5.6
Aethopyga duyvenbodei,6.0
Aethopyga eximia,5.2
Aethopyga flagrans,6.7
Aethopyga gouldiae,5.0
Aethopyga guimarasensis,6.7
Aethopyga ignicauda,8.2
Aethopyga jefferyi,6.7
Aethopyga linaraborae,7.2
Aethopyga magnifica,9.3
Aethopyga mystacalis,6.0
Aethopyga nipalensis,6.9
Aethopyga primigenia,7.0
Aethopyga pulcherrima,6.2
Aethopyga saturata,5.3
Aethopyga shelleyi,4.0
Aethopyga siparaja,6.7
Aethopyga temminckii,6.0
Aethopyga tibolii,6.3
Aethopyga vigorsii,6.7
Afropavo congensis,1273.7
Agamia agami,567.0
Agapornis canus,30.0
Agapornis fischeri,48.3
Agapornis lilianae,37.3
Agapornis nigrigenis,40.5
Agapornis personatus,52.4
Agapornis pullarius,39.3
Agapornis roseicollis,53.8
Agapornis swindernianus,40.0
Agapornis taranta,57.5
Agelaioides badius,45.3
Agelaioides fringillarius,45.3
Agelaius assimilis,47.7
Agelaius humeralis,36.3
Agelaius phoeniceus,50.8
Agelaius tricolor,57.9
Agelaius xanthomus,38.4
Agelastes meleagrides,815.0
Agelastes niger,700.0
Agelasticus cyanopus,37.2
Agelasticus thilius,31.5
Agelasticus xanthophthalmus,45.1
Aglaeactis aliciae,7.0
Aglaeactis castelnaudii,6.7
Aglaeactis cupripennis,7.6
Aglaeactis pamela,5.5
Aglaiocercus berlepschi,5.0
Aglaiocercus coelestis,5.6
Aglaiocercus kingii,4.8
Agraphospiza rubescens,19.0
Agricola infuscatus,32.4
Agricola pallidus,23.6
Agriornis albicauda,53.0
Agriornis lividus,99.1
Agriornis micropterus,67.8
Agriornis montanus,63.3
Agriornis murinus,29.9
Agropsar philippensis,28.8
Agropsar sturninus,49.4
Aidemosyne modesta,12.7
Ailuroedus arfakianus,176.9
Ailuroedus astigmaticus,176.9
Ailuroedus buccoides,138.0
Ailuroedus crassirostris,205.3
Ailuroedus geislerorum,138.0
Ailuroedus jobiensis,176.9
Ailuroedus maculosus,205.3
Ailuroedus melanocephalus,205.3
Ailuroedus melanotis,176.9
Ailuroedus stonii,138.0
Aimophila notosticta,27.1
Aimophila rufescens,34.3
Aimophila ruficeps,18.7
Aix galericulata,567.0
